iter	PRAUC	Logloss
0	0.1505587586	0.6603688585
1	0.1668831777	0.6294496606
2	0.1721022733	0.6016907723
3	0.1862864996	0.5762535033
4	0.1914630215	0.5518922781
5	0.1989254441	0.529716197
6	0.2030199898	0.5087598162
7	0.204472404	0.4909837613
8	0.2054201589	0.4738386899
9	0.2069915719	0.4589596394
10	0.206681187	0.4440962502
11	0.2078422612	0.4304403484
12	0.2077980295	0.4176754889
13	0.2080117705	0.4063005446
14	0.2083768187	0.3955084596
15	0.2094073348	0.3854149833
16	0.2105498163	0.3765984798
17	0.2097856042	0.3684997457
18	0.2091375053	0.3610344418
19	0.2087536287	0.3537681629
20	0.2087101195	0.3467489124
21	0.2091254992	0.3403795848
22	0.2095403784	0.3347336674
23	0.2095360605	0.3292248199
24	0.2103674706	0.3245615756
25	0.2109747446	0.3199714286
26	0.2114886042	0.3156766258
27	0.2112237248	0.3119124167
28	0.2119482323	0.3081411155
29	0.2122932773	0.3046932497
30	0.212019617	0.3014668318
31	0.212080067	0.2984903537
32	0.2130775664	0.2956159978
33	0.213811349	0.2929851924
34	0.2146908831	0.2907723117
35	0.2156601577	0.28819599
36	0.2155693942	0.2862178897
37	0.2162314911	0.2840663963
38	0.2164944954	0.2820255464
39	0.2170628417	0.280218974
40	0.2180460163	0.278598007
41	0.2185207644	0.276881144
42	0.2191030275	0.2755910461
43	0.2201277655	0.2741735548
44	0.2207355972	0.2730492963
45	0.2214521867	0.2718317721
46	0.222059194	0.270641552
47	0.222095814	0.2695450692
48	0.22243874	0.2684550044
49	0.2229054478	0.2675098179
50	0.2231810512	0.2666424684
51	0.2236504824	0.2656328579
52	0.2240412549	0.2647536245
53	0.2246653136	0.2639879873
54	0.2249132649	0.2632696206
55	0.2252014177	0.2625507342
56	0.2256879507	0.2618225358
57	0.2261483804	0.2612186014
58	0.2265236508	0.2606173761
59	0.2268682324	0.2601429472
60	0.2273360753	0.2596325292
61	0.2279093942	0.2591446307
62	0.2282996122	0.2586617343
63	0.2283407171	0.2581611901
64	0.2289202414	0.2576938874
65	0.2294133249	0.2572991203
66	0.2296703174	0.2569088798
67	0.2299586125	0.2565552753
68	0.2301088031	0.2561972674
69	0.2303655787	0.2558620782
70	0.2309590271	0.2555359703
71	0.2313951096	0.2552001553
72	0.2319435527	0.2548784024
73	0.2321888069	0.2546363043
74	0.2323324938	0.2543844166
75	0.2325078367	0.2540830042
76	0.2327777852	0.2538251095
77	0.2331291141	0.2535912222
78	0.2335736717	0.2533639466
79	0.2339550767	0.2531796636
80	0.2342161745	0.2529287159
81	0.2344588199	0.2526770557
82	0.2346806081	0.2524759667
83	0.2351388932	0.2522992008
84	0.2355777553	0.2520605008
85	0.2359059103	0.2518940963
86	0.2362784467	0.2516830041
87	0.2365909266	0.2515134365
88	0.2368770701	0.2513483006
89	0.237209477	0.2511925539
90	0.2375114732	0.2510735045
91	0.2377955072	0.2509482976
92	0.2380725947	0.2508259496
93	0.2385187301	0.2506433333
94	0.2389297598	0.2504713944
95	0.2393465683	0.2503054695
96	0.239627833	0.250192522
97	0.2398255822	0.2500557732
98	0.2402370999	0.24989494
99	0.24056587	0.2497363057
100	0.2408686914	0.2496171666
101	0.241273083	0.2495251878
102	0.241615007	0.249411902
103	0.2418022858	0.2493156231
104	0.2423064398	0.2492296404
105	0.242379179	0.2491238841
106	0.2425869314	0.2490032457
107	0.2428640123	0.2489264981
108	0.2431305704	0.2488451586
109	0.2432826287	0.2487524928
110	0.2436811481	0.2486490719
111	0.2438961735	0.2485775659
112	0.2441696951	0.2484949239
113	0.2444504696	0.2484223011
114	0.2447761535	0.2483037761
115	0.2448720771	0.2482168292
116	0.2450418809	0.248120238
117	0.2454713932	0.2480437933
118	0.2456197669	0.24796893
119	0.2458445729	0.2478883521
120	0.2462512279	0.2478063635
121	0.2466594588	0.247730831
122	0.2468005661	0.2476585531
123	0.2469456089	0.2475960413
124	0.247179163	0.2475373663
125	0.2473307165	0.2474692011
126	0.2476882097	0.2474067612
127	0.2480259195	0.2473565565
128	0.2482108528	0.2472918615
129	0.2484959658	0.2472064582
130	0.2486555075	0.2471498945
131	0.2489158629	0.2470724972
132	0.2491392756	0.2470052075
133	0.2493561872	0.2469567828
134	0.2495833663	0.2468851204
135	0.2498526481	0.2468363132
136	0.2500939806	0.2467571166
137	0.2504011134	0.2467132066
138	0.250682585	0.2466710784
139	0.2508744346	0.2466099564
140	0.2510201144	0.2465584205
141	0.2511873599	0.2465071654
142	0.2512915312	0.2464641533
143	0.251606048	0.246400867
144	0.2517304447	0.2463644906
145	0.2519526061	0.2463121559
146	0.2521546074	0.2462519951
147	0.2524086463	0.2461990799
148	0.2525382022	0.2461594853
149	0.2527405997	0.2461207234
150	0.2530470431	0.2460473475
151	0.2532337221	0.2459888212
152	0.2534955903	0.2459206094
153	0.2535962442	0.2458741059
154	0.2537673969	0.2458377748
155	0.2539381745	0.2458016299
156	0.2540783271	0.2457638897
157	0.2542377647	0.2457115101
158	0.2544257564	0.245657911
159	0.2545423078	0.245629775
160	0.2548188656	0.2455683201
161	0.2549753461	0.2455138071
162	0.2551286214	0.2454806877
163	0.2554015568	0.2454350048
164	0.2555536521	0.2453978529
165	0.2557291378	0.2453630391
166	0.25586996	0.2453153414
167	0.256048127	0.2452892873
168	0.2562057248	0.24525238
169	0.256451113	0.2452079745
170	0.2566209648	0.2451700183
171	0.2567259071	0.2451391025
172	0.2569164861	0.2451029979
173	0.2571487666	0.2450595221
174	0.2573155746	0.2450128152
175	0.2575064157	0.2449635102
176	0.2576320069	0.2449256954
177	0.2577862745	0.2448912215
178	0.2579025535	0.2448612245
179	0.2580264418	0.2448284023
180	0.2581617693	0.2447985571
181	0.2583222273	0.2447567652
182	0.2584233713	0.2447208186
183	0.2585687931	0.2446886706
184	0.2587234006	0.2446548324
185	0.2589348727	0.2446024745
186	0.259107172	0.2445581725
187	0.2592501318	0.2445275491
188	0.2594216322	0.2444956074
189	0.2596171739	0.2444625295
190	0.2597857859	0.2444261635
191	0.2598994333	0.2444025005
192	0.2599966306	0.244375038
193	0.2600701427	0.2443358778
194	0.260257079	0.244304172
195	0.2603897596	0.2442745841
196	0.2606211828	0.2442481264
197	0.2607803886	0.2442142744
198	0.2609165031	0.2441838099
199	0.2610254958	0.2441560092
200	0.2611877425	0.2441296421
201	0.2614296507	0.2440904193
202	0.2615500992	0.2440519281
203	0.2617209056	0.2440187746
204	0.2618782375	0.2439855502
205	0.2620593362	0.2439504698
206	0.2621083039	0.2439317786
207	0.2622415605	0.2439009119
208	0.262309665	0.2438665824
209	0.2624492151	0.2438341947
210	0.2625575564	0.2438094059
211	0.2626143491	0.2437757291
212	0.2627059226	0.2437527243
213	0.262778741	0.2437277344
214	0.2629124904	0.2437105443
215	0.2630757942	0.2436842979
216	0.2632023204	0.2436606645
217	0.2633430778	0.2436316787
218	0.2634652486	0.2435986799
219	0.263548003	0.2435783242
