iter	Passed	Remaining
0	460	230004
1	742	185001
2	1086	180069
3	1355	168102
4	1639	162294
5	1899	156403
6	2186	153992
7	2433	149671
8	2683	146426
9	2971	145602
10	3229	143582
11	3489	141908
12	3756	140705
13	4028	139842
14	4301	139091
15	4547	137548
16	4784	135946
17	5033	134797
18	5318	134651
19	5560	133445
20	5806	132443
21	6064	131758
22	6323	131140
23	6571	130326
24	6807	129348
25	7064	128789
26	7348	128739
27	7605	128199
28	7866	127769
29	8128	127340
30	8353	126387
31	8605	125859
32	8847	125212
33	9110	124871
34	9373	124529
35	9631	124145
36	9877	123604
37	10123	123081
38	10353	122385
39	10605	121967
40	10848	121449
41	11087	120907
42	11327	120382
43	11557	119777
44	11781	119122
45	12061	119039
46	12324	118785
47	12574	118405
48	12852	118291
49	13151	118360
50	13403	117999
51	13653	117630
52	13944	117609
53	14237	117589
54	14492	117256
55	14758	117014
56	15030	116816
57	15286	116491
58	15533	116108
59	15806	115911
60	16057	115558
61	16307	115206
62	16569	114931
63	16816	114559
64	17097	114420
65	17359	114150
66	17591	113686
67	17877	113574
68	18139	113305
69	18387	112952
70	18640	112631
71	18900	112351
72	19163	112094
73	19416	111775
74	19649	111348
75	19908	111069
76	20145	110670
77	20398	110358
78	20656	110079
79	20907	109765
80	21163	109477
81	21398	109079
82	21642	108732
83	21880	108360
84	22156	108178
85	22416	107912
86	22655	107548
87	22912	107271
88	23172	107008
89	23414	106666
90	23657	106328
91	23898	105984
92	24154	105706
93	24398	105380
94	24645	105067
95	24900	104790
96	25160	104534
97	25407	104221
98	25656	103920
99	25902	103610
100	26151	103311
101	26392	102982
102	26645	102699
103	26899	102423
104	27163	102187
105	27409	101882
106	27664	101607
107	27914	101319
108	28169	101047
109	28403	100703
110	28638	100363
111	28888	100079
112	29152	99840
113	29398	99542
114	29659	99293
115	29914	99027
116	30160	98730
117	30392	98390
118	30631	98073
119	30861	97729
120	31122	97481
121	31372	97202
122	31610	96887
123	31846	96566
124	32080	96241
125	32312	95912
126	32562	95636
127	32814	95366
128	33084	95149
129	33343	94900
130	33606	94663
131	33879	94450
132	34138	94201
133	34377	93896
134	34625	93616
135	34853	93284
136	35101	93007
137	35318	92648
138	35548	92323
139	35795	92046
140	36035	91749
141	36269	91439
142	36512	91152
143	36787	90946
144	37056	90725
145	37332	90517
146	37601	90294
147	37839	89996
148	38072	89686
149	38327	89430
150	38579	89166
151	38823	88884
152	39071	88612
153	39327	88358
154	39570	88075
155	39804	87773
156	40045	87487
157	40300	87232
158	40542	86950
159	40793	86686
160	41046	86426
161	41311	86192
162	41549	85902
163	41775	85589
164	42016	85306
165	42275	85060
166	42512	84769
167	42744	84471
168	42996	84211
169	43237	83932
170	43473	83642
171	43704	83344
172	43941	83056
173	44195	82803
174	44455	82560
175	44698	82285
176	44958	82043
177	45219	81801
178	45464	81531
179	45714	81269
180	45947	80978
181	46217	80753
182	46458	80477
183	46697	80197
184	46936	79918
185	47210	79698
186	47470	79456
187	47734	79218
188	48023	79023
189	48267	78751
190	48518	78493
191	48753	78209
192	48997	77938
193	49242	77670
194	49491	77409
195	49740	77148
196	49963	76846
197	50206	76578
198	50444	76300
199	50696	76044
200	50926	75756
201	51162	75477
202	51421	75231
203	51654	74949
204	51894	74677
205	52135	74407
206	52399	74169
207	52648	73910
208	52885	73634
209	53153	73402
210	53399	73138
211	53642	72873
212	53883	72603
213	54108	72313
214	54346	72040
215	54588	71773
216	54812	71483
217	55054	71216
218	55305	70962
219	55558	70711
220	55819	70468
221	56062	70204
222	56314	69950
223	56579	69713
224	56845	69477
225	57107	69236
226	57397	69028
227	57636	68759
228	57907	68528
229	58155	68269
230	58430	68042
231	58677	67782
232	58937	67537
233	59229	67329
234	59523	67121
235	59799	66893
236	60058	66646
237	60337	66422
238	60598	66176
239	60867	65939
240	61149	65717
241	61402	65461
242	61662	65214
243	61954	65001
244	62218	64757
245	62493	64525
246	62751	64275
247	63030	64047
248	63354	63863
249	63659	63659
250	63948	63438
251	64241	63222
252	64499	62970
253	64754	62714
254	65004	62455
255	65248	62189
256	65502	61934
257	65756	61678
258	65998	61411
259	66251	61155
260	66507	60901
261	66757	60642
262	66996	60373
263	67265	60131
264	67521	59877
265	67788	59633
266	68044	59379
267	68322	59145
268	68567	58881
269	68800	58607
270	69027	58329
271	69280	58073
272	69539	57822
273	69786	57561
274	70020	57289
275	70276	57036
276	70512	56766
277	70754	56501
278	71001	56240
279	71256	55986
280	71504	55728
281	71758	55472
282	72036	55236
283	72379	55049
284	72783	54907
285	73050	54660
286	73318	54413
287	73575	54159
288	73847	53916
289	74095	53655
290	74377	53418
291	74642	53169
292	74924	52933
293	75188	52682
294	75458	52437
295	75716	52182
296	75988	51938
297	76254	51689
298	76515	51436
299	76791	51194
300	77031	50928
301	77315	50690
302	77585	50443
303	77875	50209
304	78141	49959
305	78407	49709
306	78680	49463
307	78942	49211
308	79206	48959
309	79476	48711
310	79717	48445
311	79968	48186
312	80230	47933
313	80507	47688
314	80775	47439
315	81037	47186
316	81296	46931
317	81569	46684
318	81828	46429
319	82102	46182
320	82388	45942
321	82637	45681
322	82869	45411
323	83100	45140
324	83348	44880
325	83615	44629
326	83869	44371
327	84136	44120
328	84396	43865
329	84665	43615
330	84906	43351
331	85149	43087
332	85420	42838
333	85668	42577
334	85934	42325
335	86188	42068
336	86446	41812
337	86700	41554
338	86949	41294
339	87200	41035
340	87464	40782
341	87715	40523
342	87962	40262
343	88234	40013
344	88498	39760
345	88745	39499
346	88999	39241
347	89261	38987
348	89543	38742
349	89806	38488
350	90085	38241
351	90348	37987
352	90621	37737
353	90865	37475
354	91092	37206
355	91332	36943
356	91563	36676
357	91803	36413
358	92043	36150
359	92295	35892
360	92559	35639
361	92831	35388
362	93086	35131
363	93342	34875
364	93592	34616
365	93838	34356
366	94064	34088
367	94314	33830
368	94539	33562
369	94797	33307
370	95038	33045
371	95276	32783
372	95532	32527
373	95776	32267
374	95990	31996
375	96234	31736
376	96477	31476
377	96726	31218
378	96972	30959
379	97219	30700
380	97471	30443
381	97700	30179
382	97941	29919
383	98191	29662
384	98445	29405
385	98691	29147
386	98932	28887
387	99173	28627
388	99430	28372
389	99680	28115
390	99929	27857
391	100177	27599
392	100445	27347
393	100692	27089
394	100935	26830
395	101183	26573
396	101443	26319
397	101692	26061
398	101936	25803
399	102162	25540
400	102422	25286
401	102656	25025
402	102887	24764
403	103127	24505
404	103364	24245
405	103601	23986
406	103835	23726
407	104078	23468
408	104334	23213
409	104575	22955
410	104822	22698
411	105052	22438
412	105311	22184
413	105572	21930
414	105810	21672
415	106056	21415
416	106303	21158
417	106540	20900
418	106769	20640
419	107015	20383
420	107272	20129
421	107532	19875
422	107777	19619
423	108021	19362
424	108253	19103
425	108501	18847
426	108728	18588
427	108970	18331
428	109206	18073
429	109465	17819
430	109701	17562
431	109945	17306
432	110193	17050
433	110446	16796
434	110665	16536
435	110898	16278
436	111148	16023
437	111392	15767
438	111618	15509
439	111858	15253
440	112110	14998
441	112363	14744
442	112591	14486
443	112838	14231
444	113072	13975
445	113321	13720
